Entry	Gene Names	Gene Ontology IDs	Gene Ontology (GO)
A0A098D4I9	FG01699.1	GO:0000014; GO:0000723; GO:0000727; GO:0003691; GO:0004017; GO:0006284; GO:0006303; GO:0006357; GO:0007095; GO:0008296; GO:0010780; GO:0010791; GO:0030145; GO:0030437; GO:0030870; GO:0031573; GO:0035753; GO:0035861; GO:0043047; GO:0051880; GO:0060090; GO:0062176; GO:0097552; GO:0140445; GO:1990918	chromosome, telomeric repeat region [GO:0140445]; Mre11 complex [GO:0030870]; site of double-strand break [GO:0035861]; 3'-5'-DNA exonuclease activity [GO:0008296]; AMP kinase activity [GO:0004017]; double-stranded telomeric DNA binding [GO:0003691]; G-quadruplex DNA binding [GO:0051880]; manganese ion binding [GO:0030145]; molecular adaptor activity [GO:0060090]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; single-stranded telomeric DNA binding [GO:0043047]; ascospore formation [GO:0030437]; base-excision repair [GO:0006284]; DNA double-strand break processing involved in repair via synthesis-dependent strand annealing [GO:0010791]; double-strand break repair involved in meiotic recombination [GO:1990918]; double-strand break repair via break-induced replication [GO:0000727]; double-strand break repair via nonhomologous end joining [GO:0006303]; maintenance of DNA trinucleotide repeats [GO:0035753]; meiotic DNA double-strand break formation involved in reciprocal meiotic recombination [GO:0010780]; mitochondrial double-strand break repair via homologous recombination [GO:0097552]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; R-loop processing [GO:0062176]; regulation of transcription by RNA polymerase II [GO:0006357]; telomere maintenance [GO:0000723]
A0A098D6U0	ZEA1 PKS13 FGRAMPH1_01T05749 FGSG_02395	GO:0003824; GO:0004312; GO:0004315; GO:0006633; GO:0031177; GO:0106150	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; catalytic activity [GO:0003824]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; zearalenone biosynthetic process [GO:0106150]
A0A0E0SQG9	FGRAMPH1_01T17071	GO:0000722; GO:0000724; GO:0000781; GO:0003697; GO:0005524; GO:0005634; GO:0005737; GO:0006353; GO:0006366; GO:0007535; GO:0009302; GO:0016567; GO:0017116; GO:0030435; GO:0031509; GO:0031571; GO:0033503; GO:0034620; GO:0036503; GO:0042138; GO:0042275; GO:0042276; GO:0061631; GO:0070628; GO:0070987; GO:0071596; GO:0071629; GO:0090089; GO:0097505; GO:0120174; GO:1990303; GO:1990304; GO:1990305; GO:2000639	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; HULC complex [GO:0033503]; MUB1-RAD6-UBR2 ubiquitin ligase complex [GO:1990304]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; RAD6-UBR2 ubiquitin ligase complex [GO:1990305]; UBR1-RAD6 ubiquitin ligase complex [GO:1990303]; ATP binding [GO:0005524]; proteasome binding [GO:0070628]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; ubiquitin conjugating enzyme activity [GO:0061631]; cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA-templated transcription termination [GO:0006353]; donor selection [GO:0007535]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; protein ubiquitination [GO:0016567]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]
I1RAQ3	CFEMN1 FGRAMPH1_01T01499	GO:0005576; GO:0005737; GO:0009897; GO:0030428; GO:0046872; GO:0140403	cell septum [GO:0030428]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; metal ion binding [GO:0046872]; effector-mediated suppression of host innate immune response [GO:0140403]
I1RBR4	CYP51B FG01000 FGRAMPH1_01T02507	GO:0005506; GO:0005789; GO:0008398; GO:0016126; GO:0020037	endoplasmic reticulum membrane [GO:0005789]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; sterol 14-demethylase activity [GO:0008398]; sterol biosynthetic process [GO:0016126]
I1RC73	SR FG01176 FGRAMPH1_01T02919	GO:0000981; GO:0005634; GO:0008270	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
I1RDJ8	FGRAMPH1_01T04133	GO:0000014; GO:0000723; GO:0000727; GO:0003691; GO:0004017; GO:0006284; GO:0006303; GO:0006357; GO:0007095; GO:0008296; GO:0010780; GO:0010791; GO:0030145; GO:0030437; GO:0030870; GO:0031573; GO:0035753; GO:0035861; GO:0043047; GO:0051880; GO:0060090; GO:0062176; GO:0097552; GO:0140445; GO:1990918	chromosome, telomeric repeat region [GO:0140445]; Mre11 complex [GO:0030870]; site of double-strand break [GO:0035861]; 3'-5'-DNA exonuclease activity [GO:0008296]; AMP kinase activity [GO:0004017]; double-stranded telomeric DNA binding [GO:0003691]; G-quadruplex DNA binding [GO:0051880]; manganese ion binding [GO:0030145]; molecular adaptor activity [GO:0060090]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; single-stranded telomeric DNA binding [GO:0043047]; ascospore formation [GO:0030437]; base-excision repair [GO:0006284]; DNA double-strand break processing involved in repair via synthesis-dependent strand annealing [GO:0010791]; double-strand break repair involved in meiotic recombination [GO:1990918]; double-strand break repair via break-induced replication [GO:0000727]; double-strand break repair via nonhomologous end joining [GO:0006303]; maintenance of DNA trinucleotide repeats [GO:0035753]; meiotic DNA double-strand break formation involved in reciprocal meiotic recombination [GO:0010780]; mitochondrial double-strand break repair via homologous recombination [GO:0097552]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; R-loop processing [GO:0062176]; regulation of transcription by RNA polymerase II [GO:0006357]; telomere maintenance [GO:0000723]
I1RE84	CHS5 FG01964 FGRAMPH1_01T04741	GO:0003774; GO:0003779; GO:0004100; GO:0005524; GO:0005886; GO:0006031; GO:0009653; GO:0016459; GO:0030428; GO:0030436; GO:0030448; GO:0031505	cell septum [GO:0030428]; myosin complex [GO:0016459]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; ATP binding [GO:0005524]; chitin synthase activity [GO:0004100]; cytoskeletal motor activity [GO:0003774]; anatomical structure morphogenesis [GO:0009653]; asexual sporulation [GO:0030436]; chitin biosynthetic process [GO:0006031]; fungal-type cell wall organization [GO:0031505]; hyphal growth [GO:0030448]
I1REI8	CFEM1 FGRAMPH1_01T05009	GO:0005576; GO:0005737; GO:0009277; GO:0009897; GO:0030428; GO:0046872; GO:0140403	cell septum [GO:0030428]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; metal ion binding [GO:0046872]; effector-mediated suppression of host innate immune response [GO:0140403]
I1RII8	XYLB XYL2 FGRRES_03624 FGSG_03624	GO:0005576; GO:0031176; GO:0045493	extracellular region [GO:0005576]; endo-1,4-beta-xylanase activity [GO:0031176]; xylan catabolic process [GO:0045493]
