Study No.,Study,Organism,Biocontrol Agent,Experimental Condition,SRA Accession,Control/Sample,BCA Type
1,Fungal cross-talk: an integrated approach to study distance communication,Fusarium graminearum,Trichoderma gamsii,Self-interaction R1,SRR12388994,Control,Fungal
1,Fungal cross-talk: an integrated approach to study distance communication,Fusarium graminearum,Trichoderma gamsii,Self-interaction R2,SRR12388993,Control,Fungal
1,Fungal cross-talk: an integrated approach to study distance communication,Fusarium graminearum,Trichoderma gamsii,Self-interaction R3,SRR12389003,Control,Fungal
1,Fungal cross-talk: an integrated approach to study distance communication,Fusarium graminearum,Trichoderma gamsii,Non-self interaction R1,SRR12388998,Sample,Fungal
1,Fungal cross-talk: an integrated approach to study distance communication,Fusarium graminearum,Trichoderma gamsii,Non-self interaction R2,SRR12389000,Sample,Fungal
1,Fungal cross-talk: an integrated approach to study distance communication,Fusarium graminearum,Trichoderma gamsii,Non-self interaction R3,SRR12388996,Sample,Fungal
2,Trichoderma atroviride suppresses Fusarium graminearum by altering primary and secondary metabolite biosynthesis profiling,Fusarium graminearum,Trichoderma atroviride,Sub-1,SRR24463428,Sample,Fungal
2,Trichoderma atroviride suppresses Fusarium graminearum by altering primary and secondary metabolite biosynthesis profiling,Fusarium graminearum,Trichoderma atroviride,Sub-2,SRR24463427,Sample,Fungal
2,Trichoderma atroviride suppresses Fusarium graminearum by altering primary and secondary metabolite biosynthesis profiling,Fusarium graminearum,Trichoderma atroviride,Control-1,SRR24463430,Control,Fungal
2,Trichoderma atroviride suppresses Fusarium graminearum by altering primary and secondary metabolite biosynthesis profiling,Fusarium graminearum,Trichoderma atroviride,Control-2,SRR24463429,Control,Fungal
3,"Dual RNA-Seq analysis unveils the multifaceted mechanisms of Trichoderma hamatum in the biological control of Fusarium graminearum, the causal agent of wheat fusarium head blight",Fusarium graminearum,Trichoderma hamatum,Control 1,SRR35931051,Control,Fungal
3,"Dual RNA-Seq analysis unveils the multifaceted mechanisms of Trichoderma hamatum in the biological control of Fusarium graminearum, the causal agent of wheat fusarium head blight",Fusarium graminearum,Trichoderma hamatum,Control 2,SRR35931052,Control,Fungal
3,"Dual RNA-Seq analysis unveils the multifaceted mechanisms of Trichoderma hamatum in the biological control of Fusarium graminearum, the causal agent of wheat fusarium head blight",Fusarium graminearum,Trichoderma hamatum,Control 3,SRR35931053,Control,Fungal
3,"Dual RNA-Seq analysis unveils the multifaceted mechanisms of Trichoderma hamatum in the biological control of Fusarium graminearum, the causal agent of wheat fusarium head blight",Fusarium graminearum,Trichoderma hamatum,Treatment 1,SRR35931048,Sample,Fungal
3,"Dual RNA-Seq analysis unveils the multifaceted mechanisms of Trichoderma hamatum in the biological control of Fusarium graminearum, the causal agent of wheat fusarium head blight",Fusarium graminearum,Trichoderma hamatum,Treatment 2,SRR35931049,Sample,Fungal
3,"Dual RNA-Seq analysis unveils the multifaceted mechanisms of Trichoderma hamatum in the biological control of Fusarium graminearum, the causal agent of wheat fusarium head blight",Fusarium graminearum,Trichoderma hamatum,Treatment 3,SRR35931057,Sample,Fungal
4,"Genome, transcriptome and secretome analyses of the antagonistic, yeast-like fungus Aureobasidium pullulans to identify potential biocontrol genes",F. oxysporum f. sp. radicis-lycopersici,Aureobasidium pullulans,Control B3.1,SRR13836226,Control,Fungal
4,"Genome, transcriptome and secretome analyses of the antagonistic, yeast-like fungus Aureobasidium pullulans to identify potential biocontrol genes",F. oxysporum f. sp. radicis-lycopersici,Aureobasidium pullulans,Control B3.2,SRR13836225,Control,Fungal
