fpu:FPSE_00004	ko:K00293
fpu:FPSE_00006	ko:K11593
fpu:FPSE_00007	ko:K14408
fpu:FPSE_00008	ko:K10753
fpu:FPSE_00010	ko:K08064
fpu:FPSE_00011	ko:K11187
fpu:FPSE_00013	ko:K05767
fpu:FPSE_00015	ko:K19589
fpu:FPSE_00016	ko:K11087
fpu:FPSE_00017	ko:K03869
fpu:FPSE_00018	ko:K12621
fpu:FPSE_00019	ko:K15340
fpu:FPSE_00022	ko:K11137
fpu:FPSE_00023	ko:K10686
fpu:FPSE_00024	ko:K03027
fpu:FPSE_00026	ko:K18715
fpu:FPSE_00027	ko:K02739
fpu:FPSE_00030	ko:K20367
fpu:FPSE_00031	ko:K14407
fpu:FPSE_00032	ko:K16073
fpu:FPSE_00033	ko:K14771
fpu:FPSE_00034	ko:K02127
fpu:FPSE_00036	ko:K06126
fpu:FPSE_00037	ko:K03935
fpu:FPSE_00039	ko:K21632
fpu:FPSE_00043	ko:K11874
fpu:FPSE_00045	ko:K08330
fpu:FPSE_00047	ko:K27246
fpu:FPSE_00049	ko:K01835
fpu:FPSE_00050	ko:K13288
fpu:FPSE_00057	ko:K02958
fpu:FPSE_00059	ko:K07374
fpu:FPSE_00060	ko:K14837
fpu:FPSE_00062	ko:K18176
fpu:FPSE_00063	ko:K06100
fpu:FPSE_00069	ko:K13237
fpu:FPSE_00070	ko:K11230
fpu:FPSE_00071	ko:K01489
fpu:FPSE_00076	ko:K14963
fpu:FPSE_00079	ko:K02575
fpu:FPSE_00080	ko:K00295
fpu:FPSE_00083	ko:K24104
fpu:FPSE_00084	ko:K00789
fpu:FPSE_00086	ko:K01771
fpu:FPSE_00088	ko:K21768
fpu:FPSE_00090	ko:K05275
fpu:FPSE_00091	ko:K10415
fpu:FPSE_00092	ko:K01549
fpu:FPSE_00093	ko:K07151
fpu:FPSE_00097	ko:K12609
fpu:FPSE_00103	ko:K00849
fpu:FPSE_00105	ko:K04711
fpu:FPSE_00108	ko:K16365
fpu:FPSE_00109	ko:K05917
fpu:FPSE_00112	ko:K24160
fpu:FPSE_00115	ko:K03434
fpu:FPSE_00121	ko:K19841
fpu:FPSE_00122	ko:K00654
fpu:FPSE_00123	ko:K01907
fpu:FPSE_00124	ko:K04536
fpu:FPSE_00125	ko:K28206
fpu:FPSE_00127	ko:K15306
fpu:FPSE_00128	ko:K03140
fpu:FPSE_00131	ko:K19704
fpu:FPSE_00132	ko:K12191
fpu:FPSE_00133	ko:K06030
fpu:FPSE_00135	ko:K17769
fpu:FPSE_00136	ko:K15371
fpu:FPSE_00140	ko:K12188
fpu:FPSE_00141	ko:K09503
fpu:FPSE_00142	ko:K01885
fpu:FPSE_00144	ko:K04569
fpu:FPSE_00145	ko:K02871
fpu:FPSE_00146	ko:K00365
fpu:FPSE_00147	ko:K08267
fpu:FPSE_00148	ko:K00877
fpu:FPSE_00150	ko:K03885
fpu:FPSE_00151	ko:K01556
fpu:FPSE_00152	ko:K12823
fpu:FPSE_00154	ko:K21455
fpu:FPSE_00155	ko:K13205
fpu:FPSE_00156	ko:K02960
fpu:FPSE_00157	ko:K02912
fpu:FPSE_00159	ko:K00211
fpu:FPSE_00160	ko:K15462
fpu:FPSE_00161	ko:K10994
fpu:FPSE_00164	ko:K00698
fpu:FPSE_00168	ko:K02915
fpu:FPSE_00171	ko:K01077
fpu:FPSE_00173	ko:K10777
fpu:FPSE_00174	ko:K00761
fpu:FPSE_00175	ko:K06199
fpu:FPSE_00176	ko:K06199
fpu:FPSE_00177	ko:K14572
fpu:FPSE_00178	ko:K02935
fpu:FPSE_00179	ko:K15565
fpu:FPSE_00180	ko:K00286
fpu:FPSE_00181	ko:K11303
fpu:FPSE_00182	ko:K28261
fpu:FPSE_00184	ko:K04345
fpu:FPSE_00185	ko:K10082
fpu:FPSE_00187	ko:K17781
fpu:FPSE_00188	ko:K13206
fpu:FPSE_00190	ko:K12830
fpu:FPSE_00193	ko:K06944
fpu:FPSE_00195	ko:K12345
fpu:FPSE_00197	ko:K03254
fpu:FPSE_00199	ko:K07973
fpu:FPSE_00201	ko:K06269
fpu:FPSE_00202	ko:K11380
fpu:FPSE_00210	ko:K05292
fpu:FPSE_00212	ko:K01444
fpu:FPSE_00219	ko:K25365
fpu:FPSE_00220	ko:K03327
fpu:FPSE_00221	ko:K19564
fpu:FPSE_00225	ko:K08900
fpu:FPSE_00230	ko:K03781
fpu:FPSE_00244	ko:K16261
fpu:FPSE_00248	ko:K20221
fpu:FPSE_00252	ko:K03361
fpu:FPSE_00259	ko:K14262
fpu:FPSE_00262	ko:K06123
fpu:FPSE_00263	ko:K14709
fpu:FPSE_00265	ko:K08192
fpu:FPSE_00267	ko:K08197
fpu:FPSE_00272	ko:K00103
fpu:FPSE_00278	ko:K09680
fpu:FPSE_00283	ko:K19564
fpu:FPSE_00290	ko:K01277
fpu:FPSE_00294	ko:K00276
fpu:FPSE_00295	ko:K19564
fpu:FPSE_00296	ko:K00128
fpu:FPSE_00301	ko:K00276
fpu:FPSE_00302	ko:K17714
fpu:FPSE_00303	ko:K05293
fpu:FPSE_00304	ko:K14843
fpu:FPSE_00306	ko:K10398
fpu:FPSE_00308	ko:K07300
fpu:FPSE_00309	ko:K08286
fpu:FPSE_00310	ko:K05283
fpu:FPSE_00318	ko:K00102
fpu:FPSE_00319	ko:K27411
fpu:FPSE_00323	ko:K10866
fpu:FPSE_00328	ko:K23333
fpu:FPSE_00330	ko:K17778
fpu:FPSE_00336	ko:K00759
fpu:FPSE_00338	ko:K15454
fpu:FPSE_00340	ko:K05349
fpu:FPSE_00344	ko:K06316
fpu:FPSE_00345	ko:K14811
fpu:FPSE_00347	ko:K02537
fpu:FPSE_00348	ko:K11836
fpu:FPSE_00349	ko:K08139
fpu:FPSE_00354	ko:K09250
fpu:FPSE_00356	ko:K12857
fpu:FPSE_00357	ko:K20302
fpu:FPSE_00362	ko:K11213
fpu:FPSE_00363	ko:K12183
fpu:FPSE_00364	ko:K00463
fpu:FPSE_00366	ko:K03010
fpu:FPSE_00367	ko:K18188
fpu:FPSE_00368	ko:K02152
fpu:FPSE_00369	ko:K12864
fpu:FPSE_00371	ko:K21594
fpu:FPSE_00375	ko:K17862
fpu:FPSE_00382	ko:K28508
fpu:FPSE_00384	ko:K01536
fpu:FPSE_00385	ko:K01505
fpu:FPSE_00393	ko:K01166
fpu:FPSE_00399	ko:K23516
fpu:FPSE_00402	ko:K22745
fpu:FPSE_00405	ko:K15279
fpu:FPSE_00407	ko:K15356
fpu:FPSE_00408	ko:K14848
fpu:FPSE_00409	ko:K03671
fpu:FPSE_00410	ko:K20241
fpu:FPSE_00411	ko:K06965
fpu:FPSE_00415	ko:K23952
fpu:FPSE_00416	ko:K14439
fpu:FPSE_00419	ko:K00698
fpu:FPSE_00421	ko:K23166
fpu:FPSE_00427	ko:K05853
fpu:FPSE_00429	ko:K18599
fpu:FPSE_00430	ko:K21232
fpu:FPSE_00432	ko:K18167
fpu:FPSE_00434	ko:K05545
fpu:FPSE_00435	ko:K19984
fpu:FPSE_00436	ko:K19177
