fox:FOXG_00002	ko:K20046
fox:FOXG_00003	ko:K01490
fox:FOXG_00004	ko:K09955
fox:FOXG_00005	ko:K15278
fox:FOXG_00006	ko:K04354
fox:FOXG_00009	ko:K08741
fox:FOXG_00010	ko:K23566
fox:FOXG_00013	ko:K21864
fox:FOXG_00015	ko:K00765
fox:FOXG_00020	ko:K23567
fox:FOXG_00022	ko:K19950
fox:FOXG_00023	ko:K14781
fox:FOXG_00025	ko:K18803
fox:FOXG_00026	ko:K11396
fox:FOXG_00027	ko:K11483
fox:FOXG_00030	ko:K01238
fox:FOXG_00033	ko:K10771
fox:FOXG_00034	ko:K02178
fox:FOXG_00035	ko:K01689
fox:FOXG_00036	ko:K11884
fox:FOXG_00037	ko:K17979
fox:FOXG_00038	ko:K03245
fox:FOXG_00040	ko:K21543
fox:FOXG_00045	ko:K20286
fox:FOXG_00046	ko:K06694
fox:FOXG_00047	ko:K12862
fox:FOXG_00048	ko:K02603
fox:FOXG_00050	ko:K04797
fox:FOXG_00051	ko:K01881
fox:FOXG_00052	ko:K14832
fox:FOXG_00055	ko:K00860
fox:FOXG_00056	ko:K02148
fox:FOXG_00062	ko:K14301
fox:FOXG_00065	ko:K18183
fox:FOXG_00066	ko:K17065
fox:FOXG_00070	ko:K20520
fox:FOXG_00072	ko:K03251
fox:FOXG_00074	ko:K12767
fox:FOXG_00077	ko:K00894
fox:FOXG_00082	ko:K18757
fox:FOXG_00083	ko:K08157
fox:FOXG_00085	ko:K12869
fox:FOXG_00086	ko:K12844
fox:FOXG_00088	ko:K00925
fox:FOXG_00090	ko:K08176
fox:FOXG_00091	ko:K00799
fox:FOXG_00093	ko:K12880
fox:FOXG_00094	ko:K23469
fox:FOXG_00095	ko:K02886
fox:FOXG_00097	ko:K03115
fox:FOXG_00098	ko:K20476
fox:FOXG_00100	ko:K00838
fox:FOXG_00102	ko:K12373
fox:FOXG_00103	ko:K23039
fox:FOXG_00104	ko:K00231
fox:FOXG_00105	ko:K15156
fox:FOXG_00106	ko:K00036
fox:FOXG_00107	ko:K02917
fox:FOXG_00109	ko:K23952
fox:FOXG_00110	ko:K14439
fox:FOXG_00113	ko:K00698
fox:FOXG_00115	ko:K23166
fox:FOXG_00122	ko:K05853
fox:FOXG_00124	ko:K18599
fox:FOXG_00125	ko:K02979
fox:FOXG_00126	ko:K21232
fox:FOXG_00129	ko:K05545
fox:FOXG_00130	ko:K19984
fox:FOXG_00131	ko:K19177
fox:FOXG_00132	ko:K15429
fox:FOXG_00137	ko:K01868
fox:FOXG_00138	ko:K11663
fox:FOXG_00140	ko:K09580
fox:FOXG_00142	ko:K00428
fox:FOXG_00143	ko:K13217
fox:FOXG_00144	ko:K20279
fox:FOXG_00146	ko:K06630
fox:FOXG_00149	ko:K02920
fox:FOXG_00150	ko:K15627
fox:FOXG_00151	ko:K02735
fox:FOXG_00154	ko:K01768
fox:FOXG_00155	ko:K03847
fox:FOXG_00156	ko:K22939
fox:FOXG_00157	ko:K11872
fox:FOXG_00158	ko:K15102
fox:FOXG_00162	ko:K10365
fox:FOXG_00164	ko:K06902
