fgr:FGSG_00017	ko:K01293
fgr:FGSG_00034	ko:K08141
fgr:FGSG_00036	ko:K00667
fgr:FGSG_00043	ko:K22124
fgr:FGSG_00049	ko:K00826
fgr:FGSG_00051	ko:K01501
fgr:FGSG_00065	ko:K00354
fgr:FGSG_00068	ko:K07407
fgr:FGSG_00070	ko:K08141
fgr:FGSG_00083	ko:K08192
fgr:FGSG_00085	ko:K03448
fgr:FGSG_00090	ko:K00022
fgr:FGSG_00096	ko:K01190
fgr:FGSG_00099	ko:K01674
fgr:FGSG_00108	ko:K08192
fgr:FGSG_00109	ko:K00826
fgr:FGSG_00132	ko:K08832
fgr:FGSG_00139	ko:K00128
fgr:FGSG_00144	ko:K09246
fgr:FGSG_00145	ko:K11517
fgr:FGSG_00148	ko:K08192
fgr:FGSG_00165	ko:K15532
fgr:FGSG_00166	ko:K05349
fgr:FGSG_00168	ko:K02954
fgr:FGSG_00169	ko:K28450
fgr:FGSG_00170	ko:K07975
fgr:FGSG_00172	ko:K00799
fgr:FGSG_00175	ko:K27797
fgr:FGSG_00176	ko:K01637
fgr:FGSG_00180	ko:K09602
fgr:FGSG_00182	ko:K12176
fgr:FGSG_00188	ko:K12870
fgr:FGSG_00189	ko:K12670
fgr:FGSG_00192	ko:K01336
fgr:FGSG_00194	ko:K01062
fgr:FGSG_00213	ko:K11153
fgr:FGSG_00218	ko:K01273
fgr:FGSG_00219	ko:K08192
fgr:FGSG_00220	ko:K05034
fgr:FGSG_00231	ko:K00002
fgr:FGSG_00234	ko:K00344
fgr:FGSG_00251	ko:K04618
fgr:FGSG_00257	ko:K15287
fgr:FGSG_00261	ko:K23562
fgr:FGSG_00264	ko:K22069
fgr:FGSG_00265	ko:K14829
fgr:FGSG_00268	ko:K12389
fgr:FGSG_00269	ko:K00763
fgr:FGSG_00270	ko:K14548
fgr:FGSG_00271	ko:K01456
fgr:FGSG_00276	ko:K09660
fgr:FGSG_00278	ko:K01012
fgr:FGSG_00280	ko:K06062
fgr:FGSG_00281	ko:K02830
fgr:FGSG_00283	ko:K23362
fgr:FGSG_00286	ko:K03259
fgr:FGSG_00287	ko:K18660
fgr:FGSG_00288	ko:K22066
fgr:FGSG_00291	ko:K12184
fgr:FGSG_00292	ko:K14833
fgr:FGSG_00296	ko:K01754
fgr:FGSG_00298	ko:K11778
fgr:FGSG_00300	ko:K02137
fgr:FGSG_00301	ko:K06685
fgr:FGSG_00302	ko:K18328
fgr:FGSG_00303	ko:K03872
fgr:FGSG_00305	ko:K03687
fgr:FGSG_00306	ko:K03036
fgr:FGSG_00308	ko:K13354
fgr:FGSG_00309	ko:K20823
fgr:FGSG_00310	ko:K02135
